<<<<<<< HEAD
0,username,password,creditcard,{favourites},{owned{}}

1,abcde,123456789A.,3782822463100050,[],[]
2,abcde,123456789A.,3782822463100050,[],[]
3,abcde,123456789A.,3782822463100050,[],[]
4,abcdef,123456789A.,3782822463100050,[],[]
5,abcdefe,123456789A.,3714496353984310,[],[]
6,abcdef,123456789A.,3787344936710000,[],[]
7,abcdef,123456789A.,3787344936710000,[],[]
8,abcdef,123456789A.,3787344936710000,[],[]
9,abcdef,123456789A.,3787344936710000,[],[]
10,abcdef,123456789A.,3787344936710000,[],[]
11,abcdef,123456789A.,3787344936710000,[],[]
12,abcdef,123456789A.,3787344936710000,[],[]
13,abcdef,123456789A.,3787344936710000,[],[]
14,abcdef,123456789A.,3787344936710000,[],[]
15,abcdef,123456789A.,3787344936710000,[],[]
16,abcdef,123456789A.,3787344936710000,[],[]
17,abcdef,123456789A.,3787344936710000,[],[]
=======
0,username,password,creditcard,{favorites},{owned{}}
1,abcd,Abcdefg!,4024007130948184
2,abcde,Abcdefg!,4024007130948184
>>>>>>> 43e2197caedd7abe93dec9386f9f8939f2fa7a4e
